0 659
 0.649 -1.1241 0
 0.6525 -1.12207 0
 0.667113 -1.13902 0
 0.661514 -1.12143 0
 0.672157 -1.1314 0
 0.690056 -1.15333 0
 0.701905 -1.16487 0
 0.733545 -1.20885 0
 0.762338 -1.24751 0
 0.776705 -1.26216 0
 0.779581 -1.25804 0
 0.783498 -1.2556 0
 0.788472 -1.25485 0
 0.793448 -1.25407 0
 0.797353 -1.25159 0
 0.80017 -1.24742 0
 0.810564 -1.255 0
 0.815562 -1.25414 0
 0.819467 -1.2516 0
 0.829968 -1.25905 0
 0.833888 -1.25646 0
 0.8378 -1.25386 0
 0.841704 -1.25124 0
 0.845599 -1.24861 0
 0.763862 -1.12038 0
 0.449319 -0.654636 0
 0.429755 -0.62197 0
 0.413419 -0.594357 0
 0.355617 -0.507874 0
 0.360655 -0.511668 0
 0.358776 -0.505648 0
 0.361513 -0.506155 0
 0.354916 -0.493658 0
 0.354108 -0.489309 0
 0.349743 -0.48012 0
 0.351238 -0.479028 0
 0.352729 -0.477931 0
 0.358988 -0.483251 0
 0.360492 -0.48213 0
 0.353574 -0.469818 0
 0.355037 -0.468714 0
 0.349221 -0.458062 0
 0.353082 -0.460145 0
 0.352069 -0.455876 0
 0.348579 -0.448461 0
 0.349975 -0.447372 0
 0.351367 -0.446279 0
 0.352756 -0.445182 0
 0.354142 -0.44408 0
 0.348013 -0.433616 0
 0.349363 -0.432529 0
 0.35071 -0.431438 0
 0.352053 -0.430343 0
 0.353392 -0.429244 0
 0.354728 -0.42814 0
 0.356061 -0.427033 0
 0.35739 -0.425921 0
 0.354845 -0.420221 0
 0.352267 -0.41454 0
 0.357457 -0.418001 0
 0.350931 -0.407789 0
 0.350891 -0.405181 0
 0.352152 -0.404086 0
 0.349453 -0.398475 0
 0.350694 -0.397384 0
 0.35193 -0.396289 0
 0.353164 -0.39519 0
 0.354394 -0.394088 0
 0.35562 -0.392981 0
 0.347417 -0.38152 0
 0.344551 -0.376011 0
 0.347077 -0.376406 0
 0.350969 -0.378255 0
 0.352146 -0.377159 0
 0.35332 -0.37606 0
 0.344873 -0.364783 0
 0.351522 -0.369503 0
 0.355438 -0.371295 0
 0.355206 -0.368745 0
 0.353569 -0.364764 0
 0.349118 -0.357933 0
 0.350232 -0.356844 0
 0.351343 -0.35575 0
 0.35104 -0.353235 0
 0.352139 -0.352139 0
 0.361747 -0.359499 0
 0.351481 -0.347127 0
 0.359698 -0.353034 0
 0.367956 -0.358894 0
 0.367636 -0.356353 0
 0.368745 -0.355206 0
 0.361182 -0.345757 0
 0.370952 -0.3529 0
 0.37205 -0.351742 0
 0.373145 -0.350581 0
 0.371312 -0.346687 0
 0.379721 -0.352329 0
 0.370525 -0.341654 0
 0.371588 -0.340497 0
 0.375605 -0.342031 0
 0.384084 -0.347568 0
 0.385165 -0.34637 0
 0.387734 -0.3465 0
 0.384326 -0.341306 0
 0.385388 -0.340107 0
 0.390957 -0.34286 0
 0.392023 -0.34164 0
 0.394598 -0.341725 0
 0.394145 -0.339189 0
 0.396721 -0.339259 0
 0.402348 -0.341906 0
 0.400356 -0.33807 0
 0.401407 -0.336821 0
 0.402455 -0.335568 0
 0.406579 -0.336864 0
 0.415347 -0.341951 0
 0.408671 -0.334323 0
 0.417471 -0.339356 0
 0.421638 -0.340566 0
 0.423753 -0.337931 0
 0.421669 -0.334125 0
